,Date,Buy_Conditions_Met,Buy_Signal,Sell_Conditions_Met,Sell_Signal,symbol_with_date,SYMBOL
32,2023-11-17,0,False,2,True,2023-11-17,0050.TW
33,2023-11-20,0,False,1,False,2023-11-20,0050.TW
34,2023-11-21,0,False,1,False,2023-11-21,0050.TW
35,2023-11-22,0,False,1,False,2023-11-22,0050.TW
36,2023-11-23,0,False,0,False,2023-11-23,0050.TW
37,2023-11-24,0,False,0,False,2023-11-24,0050.TW
38,2023-11-27,0,False,0,False,2023-11-27,0050.TW
39,2023-11-28,0,False,0,False,2023-11-28,0050.TW
40,2023-11-29,0,False,0,False,2023-11-29,0050.TW
41,2023-11-30,0,False,0,False,2023-11-30,0050.TW
42,2023-12-01,0,False,0,False,2023-12-01,0050.TW
43,2023-12-04,0,False,0,False,2023-12-04,0050.TW
44,2023-12-05,0,False,1,False,2023-12-05,0050.TW
45,2023-12-06,0,False,0,False,2023-12-06,0050.TW
46,2023-12-07,0,False,0,False,2023-12-07,0050.TW
47,2023-12-08,0,False,0,False,2023-12-08,0050.TW
48,2023-12-11,0,False,0,False,2023-12-11,0050.TW
49,2023-12-12,0,False,0,False,2023-12-12,0050.TW
50,2023-12-13,0,False,0,False,2023-12-13,0050.TW
51,2023-12-14,0,False,0,False,2023-12-14,0050.TW
52,2023-12-15,1,False,0,False,2023-12-15,0050.TW
53,2023-12-18,0,False,1,False,2023-12-18,0050.TW
54,2023-12-19,0,False,1,False,2023-12-19,0050.TW
55,2023-12-20,0,False,0,False,2023-12-20,0050.TW
56,2023-12-21,0,False,0,False,2023-12-21,0050.TW
57,2023-12-22,0,False,1,False,2023-12-22,0050.TW
58,2023-12-25,0,False,0,False,2023-12-25,0050.TW
59,2023-12-26,0,False,0,False,2023-12-26,0050.TW
60,2023-12-27,1,False,1,False,2023-12-27,0050.TW
61,2023-12-28,0,False,1,False,2023-12-28,0050.TW
62,2023-12-29,0,False,0,False,2023-12-29,0050.TW
63,2024-01-02,0,False,1,False,2024-01-02,0050.TW
64,2024-01-03,0,False,1,False,2024-01-03,0050.TW
65,2024-01-04,0,False,0,False,2024-01-04,0050.TW
66,2024-01-05,0,False,0,False,2024-01-05,0050.TW
67,2024-01-08,0,False,0,False,2024-01-08,0050.TW
68,2024-01-09,1,False,0,False,2024-01-09,0050.TW
69,2024-01-10,0,False,0,False,2024-01-10,0050.TW
70,2024-01-11,0,False,0,False,2024-01-11,0050.TW
71,2024-01-12,0,False,0,False,2024-01-12,0050.TW
72,2024-01-15,0,False,0,False,2024-01-15,0050.TW
0,2023-10-02,0,False,0,False,2023-10-02,0051.TW
1,2023-10-03,0,False,0,False,2023-10-03,0051.TW
2,2023-10-04,0,False,0,False,2023-10-04,0051.TW
3,2023-10-05,0,False,0,False,2023-10-05,0051.TW
4,2023-10-06,0,False,0,False,2023-10-06,0051.TW
5,2023-10-11,0,False,0,False,2023-10-11,0051.TW
6,2023-10-12,0,False,0,False,2023-10-12,0051.TW
7,2023-10-13,0,False,0,False,2023-10-13,0051.TW
8,2023-10-16,0,False,0,False,2023-10-16,0051.TW
9,2023-10-17,0,False,0,False,2023-10-17,0051.TW
10,2023-10-18,0,False,0,False,2023-10-18,0051.TW
11,2023-10-19,0,False,0,False,2023-10-19,0051.TW
12,2023-10-20,0,False,0,False,2023-10-20,0051.TW
13,2023-10-23,0,False,0,False,2023-10-23,0051.TW
14,2023-10-24,1,False,0,False,2023-10-24,0051.TW
15,2023-10-25,1,False,0,False,2023-10-25,0051.TW
16,2023-10-26,1,False,0,False,2023-10-26,0051.TW
17,2023-10-27,0,False,0,False,2023-10-27,0051.TW
18,2023-10-30,0,False,0,False,2023-10-30,0051.TW
19,2023-10-31,1,False,0,False,2023-10-31,0051.TW
20,2023-11-01,1,False,0,False,2023-11-01,0051.TW
21,2023-11-02,0,False,0,False,2023-11-02,0051.TW
22,2023-11-03,0,False,0,False,2023-11-03,0051.TW
23,2023-11-06,0,False,0,False,2023-11-06,0051.TW
24,2023-11-07,0,False,0,False,2023-11-07,0051.TW
25,2023-11-08,0,False,0,False,2023-11-08,0051.TW
26,2023-11-09,0,False,1,False,2023-11-09,0051.TW
27,2023-11-10,0,False,0,False,2023-11-10,0051.TW
28,2023-11-13,0,False,0,False,2023-11-13,0051.TW
29,2023-11-14,0,False,0,False,2023-11-14,0051.TW
30,2023-11-15,0,False,0,False,2023-11-15,0051.TW
31,2023-11-16,0,False,0,False,2023-11-16,0051.TW
32,2023-11-17,0,False,0,False,2023-11-17,0051.TW
33,2023-11-20,0,False,0,False,2023-11-20,0051.TW
34,2023-11-21,0,False,0,False,2023-11-21,0051.TW
35,2023-11-22,0,False,0,False,2023-11-22,0051.TW
36,2023-11-23,0,False,0,False,2023-11-23,0051.TW
37,2023-11-24,0,False,0,False,2023-11-24,0051.TW
38,2023-11-27,0,False,0,False,2023-11-27,0051.TW
39,2023-11-28,0,False,0,False,2023-11-28,0051.TW
40,2023-11-29,0,False,0,False,2023-11-29,0051.TW
41,2023-11-30,0,False,0,False,2023-11-30,0051.TW
42,2023-12-01,0,False,0,False,2023-12-01,0051.TW
43,2023-12-04,0,False,1,False,2023-12-04,0051.TW
44,2023-12-05,0,False,0,False,2023-12-05,0051.TW
45,2023-12-06,0,False,0,False,2023-12-06,0051.TW
46,2023-12-07,0,False,0,False,2023-12-07,0051.TW
47,2023-12-08,0,False,0,False,2023-12-08,0051.TW
48,2023-12-11,0,False,1,False,2023-12-11,0051.TW
49,2023-12-12,0,False,0,False,2023-12-12,0051.TW
50,2023-12-13,0,False,1,False,2023-12-13,0051.TW
51,2023-12-14,0,False,0,False,2023-12-14,0051.TW
52,2023-12-15,0,False,0,False,2023-12-15,0051.TW
53,2023-12-18,0,False,1,False,2023-12-18,0051.TW
54,2023-12-19,0,False,0,False,2023-12-19,0051.TW
55,2023-12-20,0,False,0,False,2023-12-20,0051.TW
56,2023-12-21,0,False,0,False,2023-12-21,0051.TW
57,2023-12-22,0,False,0,False,2023-12-22,0051.TW
58,2023-12-25,0,False,0,False,2023-12-25,0051.TW
59,2023-12-26,0,False,0,False,2023-12-26,0051.TW
60,2023-12-27,0,False,0,False,2023-12-27,0051.TW
61,2023-12-28,0,False,0,False,2023-12-28,0051.TW
62,2023-12-29,0,False,1,False,2023-12-29,0051.TW
63,2024-01-02,0,False,0,False,2024-01-02,0051.TW
64,2024-01-03,0,False,0,False,2024-01-03,0051.TW
65,2024-01-04,0,False,1,False,2024-01-04,0051.TW
66,2024-01-05,0,False,0,False,2024-01-05,0051.TW
67,2024-01-08,0,False,0,False,2024-01-08,0051.TW
68,2024-01-09,0,False,0,False,2024-01-09,0051.TW
69,2024-01-10,0,False,0,False,2024-01-10,0051.TW
70,2024-01-11,0,False,0,False,2024-01-11,0051.TW
71,2024-01-12,0,False,0,False,2024-01-12,0051.TW
72,2024-01-15,0,False,0,False,2024-01-15,0051.TW
0,2023-10-02,0,False,0,False,2023-10-02,0052.TW
1,2023-10-03,0,False,0,False,2023-10-03,0052.TW
2,2023-10-04,0,False,0,False,2023-10-04,0052.TW
3,2023-10-05,0,False,0,False,2023-10-05,0052.TW
4,2023-10-06,0,False,0,False,2023-10-06,0052.TW
5,2023-10-11,0,False,0,False,2023-10-11,0052.TW
6,2023-10-12,0,False,0,False,2023-10-12,0052.TW
7,2023-10-13,0,False,0,False,2023-10-13,0052.TW
8,2023-10-16,0,False,0,False,2023-10-16,0052.TW
9,2023-10-17,0,False,0,False,2023-10-17,0052.TW
10,2023-10-18,0,False,0,False,2023-10-18,0052.TW
11,2023-10-19,0,False,0,False,2023-10-19,0052.TW
12,2023-10-20,0,False,0,False,2023-10-20,0052.TW
13,2023-10-23,0,False,0,False,2023-10-23,0052.TW
14,2023-10-24,0,False,0,False,2023-10-24,0052.TW
15,2023-10-25,0,False,0,False,2023-10-25,0052.TW
16,2023-10-26,0,False,0,False,2023-10-26,0052.TW
17,2023-10-27,0,False,0,False,2023-10-27,0052.TW
18,2023-10-30,0,False,0,False,2023-10-30,0052.TW
19,2023-10-31,0,False,0,False,2023-10-31,0052.TW
20,2023-11-01,1,False,0,False,2023-11-01,0052.TW
21,2023-11-02,0,False,0,False,2023-11-02,0052.TW
22,2023-11-03,0,False,0,False,2023-11-03,0052.TW
23,2023-11-06,0,False,0,False,2023-11-06,0052.TW
24,2023-11-07,0,False,0,False,2023-11-07,0052.TW
25,2023-11-08,0,False,0,False,2023-11-08,0052.TW
26,2023-11-09,0,False,0,False,2023-11-09,0052.TW
27,2023-11-10,0,False,0,False,2023-11-10,0052.TW
28,2023-11-13,0,False,1,False,2023-11-13,0052.TW
29,2023-11-14,0,False,0,False,2023-11-14,0052.TW
30,2023-11-15,0,False,1,False,2023-11-15,0052.TW
31,2023-11-16,0,False,1,False,2023-11-16,0052.TW
32,2023-11-17,0,False,1,False,2023-11-17,0052.TW
33,2023-11-20,0,False,0,False,2023-11-20,0052.TW
34,2023-11-21,0,False,1,False,2023-11-21,0052.TW
35,2023-11-22,0,False,1,False,2023-11-22,0052.TW
36,2023-11-23,0,False,0,False,2023-11-23,0052.TW
37,2023-11-24,0,False,0,False,2023-11-24,0052.TW
38,2023-11-27,0,False,0,False,2023-11-27,0052.TW
39,2023-11-28,0,False,0,False,2023-11-28,0052.TW
40,2023-11-29,0,False,0,False,2023-11-29,0052.TW
41,2023-11-30,0,False,0,False,2023-11-30,0052.TW
42,2023-12-01,0,False,0,False,2023-12-01,0052.TW
43,2023-12-04,0,False,1,False,2023-12-04,0052.TW
44,2023-12-05,0,False,0,False,2023-12-05,0052.TW
45,2023-12-06,0,False,0,False,2023-12-06,0052.TW
46,2023-12-07,0,False,0,False,2023-12-07,0052.TW
47,2023-12-08,0,False,0,False,2023-12-08,0052.TW
48,2023-12-11,0,False,0,False,2023-12-11,0052.TW
49,2023-12-12,0,False,0,False,2023-12-12,0052.TW
50,2023-12-13,0,False,0,False,2023-12-13,0052.TW
51,2023-12-14,1,False,1,False,2023-12-14,0052.TW
52,2023-12-15,0,False,0,False,2023-12-15,0052.TW
53,2023-12-18,0,False,1,False,2023-12-18,0052.TW
54,2023-12-19,0,False,0,False,2023-12-19,0052.TW
55,2023-12-20,0,False,0,False,2023-12-20,0052.TW
56,2023-12-21,0,False,0,False,2023-12-21,0052.TW
57,2023-12-22,0,False,0,False,2023-12-22,0052.TW
58,2023-12-25,0,False,0,False,2023-12-25,0052.TW
59,2023-12-26,0,False,1,False,2023-12-26,0052.TW
60,2023-12-27,0,False,1,False,2023-12-27,0052.TW
61,2023-12-28,0,False,1,False,2023-12-28,0052.TW
62,2023-12-29,0,False,2,True,2023-12-29,0052.TW
63,2024-01-02,0,False,0,False,2024-01-02,0052.TW
64,2024-01-03,0,False,1,False,2024-01-03,0052.TW
65,2024-01-04,0,False,0,False,2024-01-04,0052.TW
66,2024-01-05,0,False,0,False,2024-01-05,0052.TW
67,2024-01-08,0,False,0,False,2024-01-08,0052.TW
68,2024-01-09,1,False,0,False,2024-01-09,0052.TW
69,2024-01-10,0,False,0,False,2024-01-10,0052.TW
70,2024-01-11,0,False,0,False,2024-01-11,0052.TW
71,2024-01-12,0,False,0,False,2024-01-12,0052.TW
72,2024-01-15,0,False,0,False,2024-01-15,0052.TW
0,2023-10-02,0,False,0,False,2023-10-02,0053.TW
1,2023-10-03,0,False,0,False,2023-10-03,0053.TW
2,2023-10-04,0,False,0,False,2023-10-04,0053.TW
3,2023-10-05,0,False,0,False,2023-10-05,0053.TW
4,2023-10-06,0,False,0,False,2023-10-06,0053.TW
5,2023-10-11,0,False,0,False,2023-10-11,0053.TW
6,2023-10-12,0,False,0,False,2023-10-12,0053.TW
7,2023-10-13,0,False,0,False,2023-10-13,0053.TW
8,2023-10-16,0,False,0,False,2023-10-16,0053.TW
9,2023-10-17,0,False,0,False,2023-10-17,0053.TW
10,2023-10-18,0,False,0,False,2023-10-18,0053.TW
11,2023-10-19,0,False,0,False,2023-10-19,0053.TW
12,2023-10-20,0,False,0,False,2023-10-20,0053.TW
13,2023-10-23,0,False,0,False,2023-10-23,0053.TW
14,2023-10-24,0,False,0,False,2023-10-24,0053.TW
15,2023-10-25,1,False,0,False,2023-10-25,0053.TW
16,2023-10-26,0,False,0,False,2023-10-26,0053.TW
17,2023-10-27,0,False,0,False,2023-10-27,0053.TW
18,2023-10-30,0,False,0,False,2023-10-30,0053.TW
19,2023-10-31,0,False,0,False,2023-10-31,0053.TW
20,2023-11-01,0,False,0,False,2023-11-01,0053.TW
21,2023-11-02,0,False,0,False,2023-11-02,0053.TW
22,2023-11-03,0,False,0,False,2023-11-03,0053.TW
23,2023-11-06,0,False,0,False,2023-11-06,0053.TW
24,2023-11-07,0,False,0,False,2023-11-07,0053.TW
25,2023-11-08,0,False,0,False,2023-11-08,0053.TW
26,2023-11-09,0,False,0,False,2023-11-09,0053.TW
27,2023-11-10,0,False,0,False,2023-11-10,0053.TW
28,2023-11-13,0,False,1,False,2023-11-13,0053.TW
29,2023-11-14,0,False,0,False,2023-11-14,0053.TW
30,2023-11-15,0,False,0,False,2023-11-15,0053.TW
31,2023-11-16,0,False,0,False,2023-11-16,0053.TW
32,2023-11-17,0,False,0,False,2023-11-17,0053.TW
33,2023-11-20,0,False,0,False,2023-11-20,0053.TW
34,2023-11-21,0,False,0,False,2023-11-21,0053.TW
35,2023-11-22,0,False,0,False,2023-11-22,0053.TW
36,2023-11-23,0,False,0,False,2023-11-23,0053.TW
37,2023-11-24,0,False,0,False,2023-11-24,0053.TW
38,2023-11-27,0,False,0,False,2023-11-27,0053.TW
39,2023-11-28,0,False,0,False,2023-11-28,0053.TW
40,2023-11-29,0,False,0,False,2023-11-29,0053.TW
41,2023-11-30,0,False,0,False,2023-11-30,0053.TW
42,2023-12-01,0,False,0,False,2023-12-01,0053.TW
43,2023-12-04,0,False,0,False,2023-12-04,0053.TW
44,2023-12-05,0,False,1,False,2023-12-05,0053.TW
45,2023-12-06,0,False,0,False,2023-12-06,0053.TW
46,2023-12-07,0,False,0,False,2023-12-07,0053.TW
47,2023-12-08,0,False,0,False,2023-12-08,0053.TW
48,2023-12-11,1,False,0,False,2023-12-11,0053.TW
49,2023-12-12,0,False,0,False,2023-12-12,0053.TW
50,2023-12-13,0,False,0,False,2023-12-13,0053.TW
51,2023-12-14,0,False,0,False,2023-12-14,0053.TW
52,2023-12-15,0,False,0,False,2023-12-15,0053.TW
53,2023-12-18,0,False,1,False,2023-12-18,0053.TW
54,2023-12-19,0,False,0,False,2023-12-19,0053.TW
55,2023-12-20,0,False,0,False,2023-12-20,0053.TW
56,2023-12-21,0,False,0,False,2023-12-21,0053.TW
57,2023-12-22,0,False,0,False,2023-12-22,0053.TW
58,2023-12-25,0,False,0,False,2023-12-25,0053.TW
59,2023-12-26,0,False,0,False,2023-12-26,0053.TW
60,2023-12-27,0,False,0,False,2023-12-27,0053.TW
61,2023-12-28,0,False,1,False,2023-12-28,0053.TW
62,2023-12-29,0,False,1,False,2023-12-29,0053.TW
63,2024-01-02,0,False,0,False,2024-01-02,0053.TW
64,2024-01-03,0,False,1,False,2024-01-03,0053.TW
65,2024-01-04,0,False,0,False,2024-01-04,0053.TW
66,2024-01-05,0,False,0,False,2024-01-05,0053.TW
67,2024-01-08,0,False,0,False,2024-01-08,0053.TW
68,2024-01-09,1,False,0,False,2024-01-09,0053.TW
69,2024-01-10,0,False,0,False,2024-01-10,0053.TW
70,2024-01-11,0,False,0,False,2024-01-11,0053.TW
71,2024-01-12,0,False,0,False,2024-01-12,0053.TW
72,2024-01-15,0,False,0,False,2024-01-15,0053.TW
0,2023-10-02,0,False,0,False,2023-10-02,0055.TW
1,2023-10-03,0,False,0,False,2023-10-03,0055.TW
2,2023-10-04,0,False,0,False,2023-10-04,0055.TW
3,2023-10-05,0,False,0,False,2023-10-05,0055.TW
4,2023-10-06,0,False,0,False,2023-10-06,0055.TW
5,2023-10-11,0,False,0,False,2023-10-11,0055.TW
6,2023-10-12,0,False,0,False,2023-10-12,0055.TW
7,2023-10-13,0,False,0,False,2023-10-13,0055.TW
8,2023-10-16,0,False,0,False,2023-10-16,0055.TW
9,2023-10-17,0,False,0,False,2023-10-17,0055.TW
10,2023-10-18,0,False,0,False,2023-10-18,0055.TW
11,2023-10-19,0,False,0,False,2023-10-19,0055.TW
12,2023-10-20,0,False,0,False,2023-10-20,0055.TW
13,2023-10-23,0,False,0,False,2023-10-23,0055.TW
14,2023-10-24,0,False,0,False,2023-10-24,0055.TW
15,2023-10-25,0,False,0,False,2023-10-25,0055.TW
16,2023-10-26,0,False,0,False,2023-10-26,0055.TW
17,2023-10-27,1,False,0,False,2023-10-27,0055.TW
18,2023-10-30,0,False,0,False,2023-10-30,0055.TW
19,2023-10-31,0,False,0,False,2023-10-31,0055.TW
20,2023-11-01,0,False,0,False,2023-11-01,0055.TW
21,2023-11-02,0,False,0,False,2023-11-02,0055.TW
22,2023-11-03,0,False,0,False,2023-11-03,0055.TW
23,2023-11-06,0,False,0,False,2023-11-06,0055.TW
24,2023-11-07,0,False,0,False,2023-11-07,0055.TW
25,2023-11-08,0,False,1,False,2023-11-08,0055.TW
26,2023-11-09,0,False,0,False,2023-11-09,0055.TW
27,2023-11-10,0,False,0,False,2023-11-10,0055.TW
28,2023-11-13,0,False,0,False,2023-11-13,0055.TW
29,2023-11-14,0,False,0,False,2023-11-14,0055.TW
30,2023-11-15,0,False,0,False,2023-11-15,0055.TW
31,2023-11-16,0,False,0,False,2023-11-16,0055.TW
32,2023-11-17,0,False,0,False,2023-11-17,0055.TW
33,2023-11-20,0,False,0,False,2023-11-20,0055.TW
34,2023-11-21,0,False,0,False,2023-11-21,0055.TW
35,2023-11-22,0,False,0,False,2023-11-22,0055.TW
36,2023-11-23,0,False,0,False,2023-11-23,0055.TW
37,2023-11-24,0,False,0,False,2023-11-24,0055.TW
38,2023-11-27,0,False,0,False,2023-11-27,0055.TW
39,2023-11-28,0,False,0,False,2023-11-28,0055.TW
40,2023-11-29,0,False,0,False,2023-11-29,0055.TW
41,2023-11-30,0,False,0,False,2023-11-30,0055.TW
42,2023-12-01,0,False,0,False,2023-12-01,0055.TW
43,2023-12-04,0,False,0,False,2023-12-04,0055.TW
44,2023-12-05,0,False,1,False,2023-12-05,0055.TW
45,2023-12-06,0,False,0,False,2023-12-06,0055.TW
46,2023-12-07,0,False,0,False,2023-12-07,0055.TW
47,2023-12-08,0,False,0,False,2023-12-08,0055.TW
48,2023-12-11,0,False,0,False,2023-12-11,0055.TW
49,2023-12-12,0,False,0,False,2023-12-12,0055.TW
50,2023-12-13,0,False,0,False,2023-12-13,0055.TW
51,2023-12-14,1,False,0,False,2023-12-14,0055.TW
52,2023-12-15,0,False,0,False,2023-12-15,0055.TW
53,2023-12-18,0,False,0,False,2023-12-18,0055.TW
54,2023-12-19,0,False,0,False,2023-12-19,0055.TW
55,2023-12-20,0,False,0,False,2023-12-20,0055.TW
56,2023-12-21,0,False,1,False,2023-12-21,0055.TW
57,2023-12-22,0,False,0,False,2023-12-22,0055.TW
58,2023-12-25,0,False,0,False,2023-12-25,0055.TW
59,2023-12-26,0,False,0,False,2023-12-26,0055.TW
60,2023-12-27,0,False,0,False,2023-12-27,0055.TW
61,2023-12-28,1,False,0,False,2023-12-28,0055.TW
62,2023-12-29,0,False,0,False,2023-12-29,0055.TW
63,2024-01-02,0,False,0,False,2024-01-02,0055.TW
64,2024-01-03,0,False,0,False,2024-01-03,0055.TW
65,2024-01-04,0,False,0,False,2024-01-04,0055.TW
66,2024-01-05,0,False,1,False,2024-01-05,0055.TW
67,2024-01-08,0,False,0,False,2024-01-08,0055.TW
68,2024-01-09,0,False,0,False,2024-01-09,0055.TW
69,2024-01-10,0,False,0,False,2024-01-10,0055.TW
70,2024-01-11,0,False,0,False,2024-01-11,0055.TW
71,2024-01-12,0,False,0,False,2024-01-12,0055.TW
72,2024-01-15,0,False,0,False,2024-01-15,0055.TW
0,2023-10-02,0,False,0,False,2023-10-02,0056.TW
1,2023-10-03,0,False,0,False,2023-10-03,0056.TW
2,2023-10-04,0,False,0,False,2023-10-04,0056.TW
3,2023-10-05,0,False,0,False,2023-10-05,0056.TW
4,2023-10-06,0,False,0,False,2023-10-06,0056.TW
5,2023-10-11,0,False,0,False,2023-10-11,0056.TW
6,2023-10-12,0,False,0,False,2023-10-12,0056.TW
7,2023-10-13,0,False,0,False,2023-10-13,0056.TW
8,2023-10-16,0,False,0,False,2023-10-16,0056.TW
9,2023-10-17,0,False,0,False,2023-10-17,0056.TW
10,2023-10-18,0,False,0,False,2023-10-18,0056.TW
11,2023-10-19,0,False,0,False,2023-10-19,0056.TW
12,2023-10-20,0,False,0,False,2023-10-20,0056.TW
13,2023-10-23,0,False,0,False,2023-10-23,0056.TW
14,2023-10-24,2,True,0,False,2023-10-24,0056.TW
15,2023-10-25,1,False,0,False,2023-10-25,0056.TW
16,2023-10-26,1,False,0,False,2023-10-26,0056.TW
17,2023-10-27,1,False,0,False,2023-10-27,0056.TW
18,2023-10-30,1,False,0,False,2023-10-30,0056.TW
19,2023-10-31,1,False,0,False,2023-10-31,0056.TW
20,2023-11-01,2,True,0,False,2023-11-01,0056.TW
21,2023-11-02,0,False,0,False,2023-11-02,0056.TW
22,2023-11-03,0,False,0,False,2023-11-03,0056.TW
23,2023-11-06,0,False,0,False,2023-11-06,0056.TW
24,2023-11-07,0,False,0,False,2023-11-07,0056.TW
25,2023-11-08,0,False,0,False,2023-11-08,0056.TW
26,2023-11-09,0,False,1,False,2023-11-09,0056.TW
27,2023-11-10,0,False,0,False,2023-11-10,0056.TW
28,2023-11-13,0,False,0,False,2023-11-13,0056.TW
29,2023-11-14,0,False,0,False,2023-11-14,0056.TW
30,2023-11-15,0,False,1,False,2023-11-15,0056.TW
31,2023-11-16,0,False,0,False,2023-11-16,0056.TW
32,2023-11-17,0,False,0,False,2023-11-17,0056.TW
33,2023-11-20,0,False,0,False,2023-11-20,0056.TW
34,2023-11-21,0,False,0,False,2023-11-21,0056.TW
35,2023-11-22,0,False,0,False,2023-11-22,0056.TW
36,2023-11-23,0,False,0,False,2023-11-23,0056.TW
37,2023-11-24,0,False,0,False,2023-11-24,0056.TW
38,2023-11-27,0,False,0,False,2023-11-27,0056.TW
39,2023-11-28,0,False,0,False,2023-11-28,0056.TW
40,2023-11-29,0,False,0,False,2023-11-29,0056.TW
41,2023-11-30,0,False,0,False,2023-11-30,0056.TW
42,2023-12-01,0,False,0,False,2023-12-01,0056.TW
43,2023-12-04,0,False,0,False,2023-12-04,0056.TW
44,2023-12-05,0,False,0,False,2023-12-05,0056.TW
45,2023-12-06,0,False,0,False,2023-12-06,0056.TW
46,2023-12-07,0,False,0,False,2023-12-07,0056.TW
47,2023-12-08,0,False,0,False,2023-12-08,0056.TW
48,2023-12-11,0,False,0,False,2023-12-11,0056.TW
49,2023-12-12,0,False,0,False,2023-12-12,0056.TW
50,2023-12-13,0,False,1,False,2023-12-13,0056.TW
51,2023-12-14,0,False,1,False,2023-12-14,0056.TW
52,2023-12-15,0,False,1,False,2023-12-15,0056.TW
53,2023-12-18,0,False,2,True,2023-12-18,0056.TW
54,2023-12-19,0,False,0,False,2023-12-19,0056.TW
55,2023-12-20,0,False,0,False,2023-12-20,0056.TW
56,2023-12-21,0,False,0,False,2023-12-21,0056.TW
57,2023-12-22,0,False,0,False,2023-12-22,0056.TW
58,2023-12-25,0,False,0,False,2023-12-25,0056.TW
59,2023-12-26,0,False,1,False,2023-12-26,0056.TW
60,2023-12-27,0,False,1,False,2023-12-27,0056.TW
61,2023-12-28,0,False,1,False,2023-12-28,0056.TW
62,2023-12-29,0,False,2,True,2023-12-29,0056.TW
63,2024-01-02,0,False,0,False,2024-01-02,0056.TW
64,2024-01-03,0,False,0,False,2024-01-03,0056.TW
65,2024-01-04,0,False,1,False,2024-01-04,0056.TW
66,2024-01-05,0,False,0,False,2024-01-05,0056.TW
67,2024-01-08,0,False,0,False,2024-01-08,0056.TW
68,2024-01-09,0,False,0,False,2024-01-09,0056.TW
69,2024-01-10,0,False,0,False,2024-01-10,0056.TW
70,2024-01-11,1,False,0,False,2024-01-11,0056.TW
71,2024-01-12,0,False,0,False,2024-01-12,0056.TW
72,2024-01-15,0,False,0,False,2024-01-15,0056.TW
0,2023-10-02,0,False,0,False,2023-10-02,0057.TW
1,2023-10-03,0,False,0,False,2023-10-03,0057.TW
2,2023-10-04,0,False,0,False,2023-10-04,0057.TW
3,2023-10-05,0,False,0,False,2023-10-05,0057.TW
4,2023-10-06,0,False,0,False,2023-10-06,0057.TW
5,2023-10-11,0,False,0,False,2023-10-11,0057.TW
6,2023-10-12,0,False,0,False,2023-10-12,0057.TW
7,2023-10-13,0,False,0,False,2023-10-13,0057.TW
8,2023-10-16,0,False,0,False,2023-10-16,0057.TW
9,2023-10-17,0,False,0,False,2023-10-17,0057.TW
10,2023-10-18,0,False,0,False,2023-10-18,0057.TW
11,2023-10-19,0,False,0,False,2023-10-19,0057.TW
12,2023-10-20,0,False,0,False,2023-10-20,0057.TW
13,2023-10-23,0,False,0,False,2023-10-23,0057.TW
14,2023-10-24,0,False,0,False,2023-10-24,0057.TW
15,2023-10-25,1,False,0,False,2023-10-25,0057.TW
16,2023-10-26,0,False,0,False,2023-10-26,0057.TW
17,2023-10-27,0,False,0,False,2023-10-27,0057.TW
18,2023-10-30,0,False,0,False,2023-10-30,0057.TW
19,2023-10-31,0,False,0,False,2023-10-31,0057.TW
20,2023-11-01,1,False,0,False,2023-11-01,0057.TW
21,2023-11-02,0,False,0,False,2023-11-02,0057.TW
22,2023-11-03,0,False,0,False,2023-11-03,0057.TW
23,2023-11-06,0,False,0,False,2023-11-06,0057.TW
